url,Value_1,Number,Addr,Email,website
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Dharma Nand Joshi",234493,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Dherandra Chand Pandey",289036,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Digambar Singh Kirola",262050,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Digvijay Singh Bisht",460093,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Dilip Singh",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Dinesh Chandra Balutia",250523,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Dinesh Singh Mehta",228200,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Dinesh Singh Rawat",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Dr. Mahendra Singh Pal",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"G. N. Joshi",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Ganesh Kandpal",237916,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Ganesh Singh Negi",234197,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Ganga Singh Dhapola",223835,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Ghanshyam Barola",254438,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Ghanshyam Joshi",228809,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Girish Chand Kholia",231238,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Girjesh Joshi",283857,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Gokul Chand Gurrani",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Gopal Ram",287209,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Gopal Singh Kumria",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Gopal Singh Mehra",254429,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Govind Singh Bisht",281548,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"H. K. C. Haris",280151,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Har Parsad Garg",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Harendra Singh Rawat",232091,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Hari Shankar Consul",220132,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Harish Bhatt",220235,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Harish Chand Pandey",261142,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Haish Chand Tewari",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Harish Chandra Karnatak",240116,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Harish Joshi",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Harshavardhan Shah",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Heera Ballabh Gurrani",221703,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Heera Ballab Palaria",221811,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Heera Singh Chauhan",220707,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Jogo Kant Sharma",223546,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Jyoti Prakash",235423,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"K. C. Ram Arya",223602,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"K.C. Tewari",238292,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"K. K. Tewari",222517,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"K. P. S. Mehra",254429,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"K. S. Mehra",228475,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Kailash Chand Balutia",231865,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Kailash Chand Joshi",251651,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Kailash Joshi",236412,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Kamal Kishor Kapil","262924 , 9837759355",NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Keshav Dutt Budhani",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Khasti Dutt Gunwant",22611,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Khem Raj Singh",241107,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Khushal Singh",262440,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Kiran Singh Khura",232524,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Kishan Singh Darmwal",235207,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Kishan Singh Karki",231537,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Kishor Kumar Pant",262248,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Krishan Chand Pant",224396,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Krishan Pal Singh Rotela",223347,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Krishna Kumar Mehta",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Krishna Kumar Tewari",228827,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Kuldeep Singh",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Kuldeep Singh",235249,NULL,NULL,NULL
